Date,Time,Day of the Week,Origin,Destination,Route,Weather Conditions,Accident Reports,Traffic Intensity,Distance
2025-03-25,18:41:28,Tuesday,Sân vận động Quận 5,Trung tâm Văn hóa Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,0,25,7.29
2025-03-22,01:41:28,Saturday,Trạm xe buýt Quận 5,Đền Vua,Đường Bạch Đằng,Cloudy,1,13,2.2
2025-03-23,01:54:28,Sunday,Trung tâm Y tế Quận 5,Công viên District 5,Đường Lê Lợi,Stormy,0,33,8.41
2025-03-02,19:37:28,Sunday,Ngã tư Lê Văn Sỹ,Bảo tàng Quận 5,Đường 3/2,Cloudy,1,17,2.55
2025-03-01,12:17:28,Saturday,Trung tâm Văn hóa Chợ Lớn,Bệnh viện Quận 5,Đường Trường Chinh,Cloudy,2,9,6.63
2025-03-23,15:58:28,Sunday,Chợ Bình Đông,Trung tâm Y tế Quận 5,Đường Lê Văn Sỹ,Cloudy,0,31,6.56
2025-03-17,19:46:28,Monday,Ngã tư Lê Văn Sỹ,Đền Vua,Đường Đồng Khởi,Rainy,0,27,3.64
2025-02-25,01:04:28,Tuesday,Bưu điện Chợ Lớn,Trạm xe buýt Quận 5,Đường Trường Chinh,Sunny,0,48,3.57
2025-03-25,16:38:28,Tuesday,Nhà thờ Chợ Lớn,Bưu điện Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,0,29,3.05
2025-03-17,04:07:28,Monday,Chợ Bình Tây,Đền Vua,Đường Đồng Khởi,Cloudy,1,12,5.83
2025-03-19,15:03:28,Wednesday,Bưu điện Chợ Lớn,Trường Trung học Chợ Lớn,Đường Tô Hiệu,Cloudy,2,38,6.76
2025-03-24,05:41:28,Monday,Trường Tiểu học Chợ Lớn,Trung tâm Văn hóa Chợ Lớn,Đường Trần Hưng Đạo,Cloudy,0,28,4.93
2025-03-21,01:40:28,Friday,Ngã tư Lê Văn Sỹ,Chợ Bình Tây,Đường Pasteur,Sunny,3,42,4.75
2025-02-25,09:48:28,Tuesday,Bưu điện Chợ Lớn,Công viên District 5,Đường Lý Thường Kiệt,Stormy,2,13,6.71
2025-03-10,12:25:28,Monday,Trung tâm Thương Mại Chợ Lớn,Đền Bà Thiên Hậu,Đường Lê Lợi,Rainy,3,7,5.12
2025-02-28,02:33:28,Friday,Chợ Bình Đông,Bảo tàng Quận 5,Đường Tô Hiệu,Sunny,3,24,3.79
2025-03-20,18:23:28,Thursday,Trung tâm Văn hóa Chợ Lớn,Bảo tàng Quận 5,Đường Đồng Khởi,Sunny,1,38,4.37
2025-03-20,12:53:28,Thursday,Siêu thị Big C District 5,Trung tâm Văn hóa Dân gian,Đường Lê Lợi,Rainy,0,19,3.93
2025-03-05,16:14:28,Wednesday,Trường Trung học Chợ Lớn,Trung tâm Y tế Quận 5,Đường Nguyễn Văn Linh,Cloudy,2,9,3.21
2025-03-16,11:03:28,Sunday,Ngã tư Lê Văn Sỹ,Sân vận động Quận 5,Đường 3/2,Sunny,2,49,8.69
2025-02-27,10:28:28,Thursday,Nhà thờ Chợ Lớn,Chợ Bình Tây,Đường Pasteur,Cloudy,0,47,3.46
2025-03-23,07:16:28,Sunday,Trung tâm Thương Mại Chợ Lớn,Chợ Bình Tây,Đường 3/2,Cloudy,1,45,1.78
2025-02-27,04:50:28,Thursday,Trung tâm Thương Mại Chợ Lớn,Chợ Bình Đông,Đường Lý Thường Kiệt,Sunny,0,13,7.53
2025-03-11,13:26:28,Tuesday,Chợ Bình Đông,Ngã tư Lê Văn Sỹ,Đường Lê Lợi,Sunny,0,6,6.55
2025-03-18,14:44:28,Tuesday,Trường Tiểu học Chợ Lớn,Trạm xe buýt Quận 5,Đường Nguyễn Văn Quá,Cloudy,0,66,2.14
2025-03-22,12:15:28,Saturday,Cửa hàng Điện máy X,Bảo tàng Quận 5,Đường Lê Lợi,Cloudy,0,32,3.04
2025-03-15,01:09:28,Saturday,Trường Tiểu học Chợ Lớn,Bưu điện Chợ Lớn,Đường 3/2,Cloudy,1,8,4.23
2025-03-12,15:31:28,Wednesday,Trung tâm Văn hóa Dân gian,Sân vận động Quận 5,Đường Tô Hiệu,Cloudy,1,22,5.88
2025-03-26,06:16:28,Wednesday,Bưu điện Chợ Lớn,Đền Bà Thiên Hậu,Đường Lê Văn Sỹ,Cloudy,0,13,3.75
2025-03-01,11:53:28,Saturday,Trung tâm Thương Mại Chợ Lớn,Trường Tiểu học Chợ Lớn,Đường Lê Lợi,Cloudy,2,24,6.8
2025-03-02,21:38:28,Sunday,Trung tâm Văn hóa Dân gian,Bệnh viện Quận 5,Đường Cách Mạng Tháng Tám,Sunny,1,10,6.22
2025-02-27,22:52:28,Thursday,Sân vận động Quận 5,Trạm xe buýt Quận 5,Đường 3/2,Sunny,1,12,8.11
2025-03-21,02:59:28,Friday,Chợ Bình Tây,Chợ Bình Đông,Đường Lý Thường Kiệt,Cloudy,1,27,5.04
2025-03-07,06:43:28,Friday,Bệnh viện Quận 5,Trung tâm Văn hóa Dân gian,Đường Lý Tự Trọng,Sunny,1,31,8.82
2025-03-14,18:34:28,Friday,Đền Bà Thiên Hậu,Bệnh viện Quận 5,Đường Lê Văn Sỹ,Sunny,1,16,6.58
2025-03-14,06:58:28,Friday,Đền Vua,Sân vận động Quận 5,Đường Cách Mạng Tháng Tám,Sunny,0,32,4.38
2025-03-21,19:34:28,Friday,Bảo tàng Quận 5,Trung tâm Văn hóa Chợ Lớn,Đường Lê Lợi,Sunny,0,18,7.72
2025-02-27,04:24:28,Thursday,Cửa hàng Điện máy X,Trạm xe buýt Quận 5,Đường Cái Vạn,Cloudy,3,17,7.31
2025-02-27,02:58:28,Thursday,Đền Bà Thiên Hậu,Cửa hàng Điện máy X,Đường Lý Tự Trọng,Cloudy,1,21,7.95
2025-03-20,16:39:28,Thursday,Bệnh viện Quận 5,Đền Bà Thiên Hậu,Đường Đồng Khởi,Sunny,2,42,7.54
2025-03-04,23:30:28,Tuesday,Chợ Bình Đông,Siêu thị Big C District 5,Đường 3/2,Cloudy,0,19,5.92
2025-03-07,05:26:28,Friday,Trung tâm Y tế Quận 5,Bưu điện Chợ Lớn,Đường Lý Thường Kiệt,Cloudy,1,13,5.95
2025-03-22,20:52:28,Saturday,Siêu thị Big C District 5,Đền Bà Thiên Hậu,Đường Pasteur,Sunny,1,17,3.47
2025-03-26,10:33:28,Wednesday,Cửa hàng Điện máy X,Ngã tư Lê Văn Sỹ,Đường Trần Hưng Đạo,Rainy,0,21,4.68
2025-03-05,19:38:28,Wednesday,Nhà thờ Chợ Lớn,Trung tâm Thương Mại Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,1,4,5.72
2025-03-25,21:35:28,Tuesday,Trường Trung học Chợ Lớn,Sân vận động Quận 5,Đường Trần Hưng Đạo,Rainy,1,17,7.36
2025-02-27,19:46:28,Thursday,Chợ Bình Tây,Sân vận động Quận 5,Đường Pasteur,Stormy,2,25,4.83
2025-03-01,01:44:28,Saturday,Chợ Bình Đông,Trạm xe buýt Quận 5,Đường Lê Lợi,Cloudy,2,47,8.03
2025-03-02,13:12:28,Sunday,Công viên District 5,Chợ Bình Đông,Đường Lý Thường Kiệt,Sunny,1,39,6.07
2025-03-09,11:48:28,Sunday,Bệnh viện Quận 5,Sân vận động Quận 5,Đường Tô Hiệu,Cloudy,1,38,7.36
2025-03-10,06:57:28,Monday,Siêu thị Big C District 5,Ngã tư Lê Văn Sỹ,Đường Cái Vạn,Cloudy,2,22,4.46
2025-03-21,18:18:28,Friday,Trường Trung học Chợ Lớn,Bưu điện Chợ Lớn,Đường Lý Thường Kiệt,Sunny,2,53,1.54
2025-03-01,18:36:28,Saturday,Bưu điện Chợ Lớn,Trạm xe buýt Quận 5,Đường Nguyễn Văn Quá,Sunny,2,19,7.67
2025-03-24,01:10:28,Monday,Trường Tiểu học Chợ Lớn,Nhà thờ Chợ Lớn,Đường Lê Lợi,Cloudy,0,33,4.99
2025-03-08,12:52:28,Saturday,Ngã tư Lê Văn Sỹ,Bảo tàng Quận 5,Đường Cách Mạng Tháng Tám,Rainy,0,9,4.85
2025-02-26,20:01:28,Wednesday,Chợ Bình Đông,Trung tâm Văn hóa Dân gian,Đường Tô Hiệu,Sunny,0,29,9.11
2025-02-24,16:24:28,Monday,Nhà thờ Chợ Lớn,Trung tâm Văn hóa Chợ Lớn,Đường Nguyễn Văn Linh,Stormy,0,8,3.88
2025-03-03,21:01:28,Monday,Sân vận động Quận 5,Trạm xe buýt Quận 5,Đường Bạch Đằng,Sunny,2,20,4.8
2025-02-24,23:05:28,Monday,Bưu điện Chợ Lớn,Chợ Bình Đông,Đường Lý Thường Kiệt,Cloudy,0,29,3.76
2025-03-03,07:20:28,Monday,Trạm xe buýt Quận 5,Đền Bà Thiên Hậu,Đường Tô Hiệu,Sunny,1,2,3.75
2025-03-21,16:02:28,Friday,Trung tâm Văn hóa Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Nguyễn Văn Quá,Sunny,1,80,5.62
2025-03-13,02:49:28,Thursday,Đền Bà Thiên Hậu,Công viên District 5,Đường Lê Lợi,Cloudy,0,33,4.63
2025-03-01,04:48:28,Saturday,Công viên District 5,Trạm xe buýt Quận 5,Đường Lý Thường Kiệt,Rainy,2,14,4.3
2025-03-24,18:27:28,Monday,Trung tâm Văn hóa Chợ Lớn,Trung tâm Thương Mại Chợ Lớn,Đường Tô Hiệu,Sunny,0,35,4.12
2025-03-04,13:55:28,Tuesday,Trung tâm Văn hóa Dân gian,Chợ Bình Tây,Đường Nguyễn Văn Quá,Cloudy,0,25,2.38
2025-03-11,15:22:28,Tuesday,Trung tâm Văn hóa Dân gian,Trung tâm Thương Mại Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,0,24,4.08
2025-03-01,10:36:28,Saturday,Trung tâm Y tế Quận 5,Đền Bà Thiên Hậu,Đường Tô Hiệu,Sunny,0,32,3.91
2025-03-05,14:31:28,Wednesday,Sân vận động Quận 5,Công viên District 5,Đường Cách Mạng Tháng Tám,Rainy,1,45,4.83
2025-03-06,21:07:28,Thursday,Trung tâm Thương Mại Chợ Lớn,Chợ Bình Tây,Đường Nguyễn Văn Linh,Sunny,1,31,1.66
2025-03-11,11:04:28,Tuesday,Đền Vua,Chợ Bình Đông,Đường Trường Chinh,Sunny,0,5,0.5
2025-03-25,17:12:28,Tuesday,Ngã tư Lê Văn Sỹ,Trung tâm Y tế Quận 5,Đường Nguyễn Văn Linh,Stormy,0,8,10.57
2025-03-20,22:13:28,Thursday,Nhà thờ Chợ Lớn,Chợ Bình Tây,Đường 3/2,Rainy,2,11,6.52
2025-03-08,09:50:28,Saturday,Bệnh viện Quận 5,Cửa hàng Điện máy X,Đường Cách Mạng Tháng Tám,Sunny,0,20,5.18
2025-03-23,16:08:28,Sunday,Trung tâm Văn hóa Dân gian,Công viên District 5,Đường Bạch Đằng,Cloudy,0,30,3.81
2025-03-16,09:11:28,Sunday,Siêu thị Big C District 5,Ngã tư Lê Văn Sỹ,Đường 3/2,Sunny,0,16,7.07
2025-03-22,18:19:28,Saturday,Trường Tiểu học Chợ Lớn,Đền Vua,Đường Cái Vạn,Cloudy,0,5,3.65
2025-02-24,14:22:28,Monday,Ngã tư Lê Văn Sỹ,Trạm xe buýt Quận 5,Đường Nguyễn Văn Linh,Cloudy,1,23,5.03
2025-03-05,11:44:28,Wednesday,Công viên District 5,Trung tâm Văn hóa Dân gian,Đường 3/2,Rainy,0,36,2.04
2025-03-11,13:11:28,Tuesday,Siêu thị Big C District 5,Nhà thờ Chợ Lớn,Đường Nguyễn Văn Linh,Rainy,1,16,9.54
2025-03-10,04:33:28,Monday,Ngã tư Lê Văn Sỹ,Trường Trung học Chợ Lớn,Đường Nguyễn Văn Linh,Sunny,1,35,8.02
2025-03-14,20:03:28,Friday,Trường Trung học Chợ Lớn,Trạm xe buýt Quận 5,Đường Nguyễn Văn Quá,Sunny,0,49,3.04
2025-03-13,18:39:28,Thursday,Bệnh viện Quận 5,Siêu thị Big C District 5,Đường Pasteur,Sunny,0,75,5.83
2025-03-21,11:01:28,Friday,Chợ Bình Tây,Trường Trung học Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,1,12,7.99
2025-03-22,22:01:28,Saturday,Siêu thị Big C District 5,Nhà thờ Chợ Lớn,Đường Lý Tự Trọng,Sunny,2,52,8.56
2025-03-06,05:57:28,Thursday,Ngã tư Lê Văn Sỹ,Bảo tàng Quận 5,Đường Trường Chinh,Rainy,3,18,8.77
2025-03-04,05:52:28,Tuesday,Chợ Bình Đông,Trường Trung học Chợ Lớn,Đường Đồng Khởi,Cloudy,1,14,4.68
2025-03-24,16:55:28,Monday,Nhà thờ Chợ Lớn,Chợ Bình Đông,Đường Tô Hiệu,Stormy,0,55,0.5
2025-03-07,05:04:28,Friday,Trường Trung học Chợ Lớn,Trung tâm Thương Mại Chợ Lớn,Đường Trường Chinh,Sunny,0,18,2.75
2025-02-25,15:12:28,Tuesday,Đền Bà Thiên Hậu,Trung tâm Thương Mại Chợ Lớn,Đường Lý Tự Trọng,Cloudy,1,9,4.69
2025-02-27,20:04:28,Thursday,Sân vận động Quận 5,Trung tâm Văn hóa Dân gian,Đường Lý Thường Kiệt,Cloudy,1,23,5.12
2025-03-05,08:54:28,Wednesday,Trung tâm Y tế Quận 5,Bảo tàng Quận 5,Đường Lê Văn Sỹ,Sunny,0,6,10.14
2025-03-26,09:07:28,Wednesday,Chợ Bình Tây,Bưu điện Chợ Lớn,Đường Trường Chinh,Sunny,1,24,0.5
2025-03-04,12:38:28,Tuesday,Ngã tư Lê Văn Sỹ,Sân vận động Quận 5,Đường Cái Vạn,Cloudy,1,12,2.18
2025-03-02,01:05:28,Sunday,Sân vận động Quận 5,Trung tâm Văn hóa Chợ Lớn,Đường Trường Chinh,Sunny,0,21,3.45
2025-03-20,16:40:28,Thursday,Trạm xe buýt Quận 5,Siêu thị Big C District 5,Đường Trần Hưng Đạo,Stormy,0,27,5.2
2025-03-16,15:56:28,Sunday,Siêu thị Big C District 5,Ngã tư Lê Văn Sỹ,Đường Lê Văn Sỹ,Rainy,3,9,4.54
2025-03-21,10:57:28,Friday,Sân vận động Quận 5,Bệnh viện Quận 5,Đường Bạch Đằng,Rainy,2,13,5.65
2025-03-17,00:07:28,Monday,Đền Vua,Trung tâm Thương Mại Chợ Lớn,Đường Tô Hiệu,Cloudy,0,4,2.18
2025-03-20,05:55:28,Thursday,Bảo tàng Quận 5,Trung tâm Thương Mại Chợ Lớn,Đường Cách Mạng Tháng Tám,Sunny,1,17,5.42
2025-03-09,12:37:28,Sunday,Trung tâm Thương Mại Chợ Lớn,Đền Vua,Đường Trần Hưng Đạo,Sunny,1,52,4.94
2025-03-21,02:31:28,Friday,Chợ Bình Đông,Trung tâm Văn hóa Chợ Lớn,Đường Nguyễn Văn Quá,Sunny,2,22,5.34
2025-03-03,11:26:28,Monday,Trường Tiểu học Chợ Lớn,Chợ Bình Đông,Đường Lê Văn Sỹ,Sunny,1,16,3.04
2025-03-21,05:12:28,Friday,Sân vận động Quận 5,Trung tâm Văn hóa Dân gian,Đường Cái Vạn,Sunny,1,72,8.24
2025-03-15,15:26:28,Saturday,Trung tâm Y tế Quận 5,Cửa hàng Điện máy X,Đường Bạch Đằng,Sunny,0,42,2.44
2025-03-22,17:20:28,Saturday,Trung tâm Y tế Quận 5,Bảo tàng Quận 5,Đường Cái Vạn,Rainy,0,13,3.78
2025-03-10,02:41:28,Monday,Trung tâm Y tế Quận 5,Trung tâm Văn hóa Dân gian,Đường Đồng Khởi,Cloudy,1,26,7.11
2025-03-21,09:03:28,Friday,Siêu thị Big C District 5,Trung tâm Thương Mại Chợ Lớn,Đường Lý Tự Trọng,Sunny,0,16,6.22
2025-03-16,08:34:28,Sunday,Bảo tàng Quận 5,Chợ Bình Tây,Đường Lê Văn Sỹ,Sunny,0,32,6.97
2025-03-14,22:09:28,Friday,Bệnh viện Quận 5,Sân vận động Quận 5,Đường Lý Thường Kiệt,Sunny,3,26,1.88
2025-03-24,20:12:28,Monday,Trạm xe buýt Quận 5,Chợ Bình Tây,Đường Lý Thường Kiệt,Sunny,0,20,4.5
2025-03-22,04:59:28,Saturday,Chợ Bình Tây,Chợ Bình Đông,Đường Nguyễn Văn Linh,Sunny,2,36,5.76
2025-03-17,12:49:28,Monday,Bệnh viện Quận 5,Đền Bà Thiên Hậu,Đường Cách Mạng Tháng Tám,Sunny,2,30,1.68
2025-03-06,03:43:28,Thursday,Sân vận động Quận 5,Nhà thờ Chợ Lớn,Đường Trần Hưng Đạo,Cloudy,4,32,2.84
2025-03-13,18:38:28,Thursday,Đền Vua,Trung tâm Văn hóa Dân gian,Đường Cách Mạng Tháng Tám,Rainy,1,7,3.97
2025-03-17,22:14:28,Monday,Chợ Bình Tây,Trạm xe buýt Quận 5,Đường Cái Vạn,Stormy,1,3,5.83
2025-03-12,10:47:28,Wednesday,Trung tâm Thương Mại Chợ Lớn,Chợ Bình Đông,Đường Trường Chinh,Stormy,0,19,6.78
2025-02-26,08:30:28,Wednesday,Chợ Bình Tây,Trung tâm Thương Mại Chợ Lớn,Đường Lê Lợi,Rainy,1,69,3.97
2025-03-24,19:11:28,Monday,Trung tâm Văn hóa Chợ Lớn,Trung tâm Thương Mại Chợ Lớn,Đường Nguyễn Văn Quá,Sunny,0,29,1.48
2025-03-01,17:28:28,Saturday,Cửa hàng Điện máy X,Trường Tiểu học Chợ Lớn,Đường Lý Tự Trọng,Cloudy,1,7,1.13
2025-03-13,07:27:28,Thursday,Bệnh viện Quận 5,Siêu thị Big C District 5,Đường Pasteur,Stormy,1,28,4.57
2025-03-01,17:38:28,Saturday,Bệnh viện Quận 5,Trường Trung học Chợ Lớn,Đường 3/2,Cloudy,0,21,3.96
2025-03-10,17:16:28,Monday,Cửa hàng Điện máy X,Trung tâm Y tế Quận 5,Đường Lê Văn Sỹ,Rainy,3,54,4.66
2025-03-05,13:09:28,Wednesday,Chợ Bình Đông,Cửa hàng Điện máy X,Đường Bạch Đằng,Rainy,0,22,3.9
2025-03-07,13:47:28,Friday,Bưu điện Chợ Lớn,Trường Trung học Chợ Lớn,Đường Tô Hiệu,Cloudy,1,24,8.59
2025-03-02,00:45:28,Sunday,Cửa hàng Điện máy X,Đền Bà Thiên Hậu,Đường Trần Hưng Đạo,Cloudy,0,14,1.5
2025-03-13,09:17:28,Thursday,Chợ Bình Đông,Ngã tư Lê Văn Sỹ,Đường Nguyễn Văn Linh,Sunny,1,17,4.98
2025-03-15,15:20:28,Saturday,Bảo tàng Quận 5,Bưu điện Chợ Lớn,Đường Lê Văn Sỹ,Stormy,2,36,4.02
2025-03-25,10:45:28,Tuesday,Sân vận động Quận 5,Trung tâm Văn hóa Chợ Lớn,Đường Lê Văn Sỹ,Sunny,3,27,7.22
2025-03-20,06:25:28,Thursday,Đền Vua,Siêu thị Big C District 5,Đường Trường Chinh,Rainy,1,14,4.26
2025-03-18,12:38:28,Tuesday,Sân vận động Quận 5,Trung tâm Văn hóa Dân gian,Đường Tô Hiệu,Cloudy,0,28,7.56
2025-03-08,17:41:28,Saturday,Nhà thờ Chợ Lớn,Trung tâm Thương Mại Chợ Lớn,Đường Tô Hiệu,Rainy,1,51,6.29
2025-03-09,05:11:28,Sunday,Sân vận động Quận 5,Trung tâm Thương Mại Chợ Lớn,Đường Trường Chinh,Sunny,2,25,5.1
2025-03-24,07:10:28,Monday,Trung tâm Y tế Quận 5,Nhà thờ Chợ Lớn,Đường Cái Vạn,Sunny,1,34,4.27
2025-03-11,07:32:28,Tuesday,Bệnh viện Quận 5,Bảo tàng Quận 5,Đường Lê Lợi,Sunny,0,50,5.75
2025-03-08,06:43:28,Saturday,Nhà thờ Chợ Lớn,Đền Vua,Đường Lý Thường Kiệt,Cloudy,0,9,2.1
2025-03-09,02:17:28,Sunday,Trạm xe buýt Quận 5,Chợ Bình Tây,Đường Đồng Khởi,Rainy,1,40,2.44
2025-02-28,10:02:28,Friday,Trung tâm Thương Mại Chợ Lớn,Trung tâm Văn hóa Dân gian,Đường Lý Tự Trọng,Cloudy,1,23,6.27
2025-03-07,11:01:28,Friday,Bảo tàng Quận 5,Sân vận động Quận 5,Đường Trường Chinh,Sunny,3,40,2.5
2025-03-09,21:55:28,Sunday,Trung tâm Thương Mại Chợ Lớn,Trung tâm Y tế Quận 5,Đường Bạch Đằng,Sunny,2,39,6.45
2025-03-22,23:44:28,Saturday,Công viên District 5,Bảo tàng Quận 5,Đường Đồng Khởi,Cloudy,1,14,5.75
2025-03-15,21:17:28,Saturday,Trạm xe buýt Quận 5,Nhà thờ Chợ Lớn,Đường Trần Hưng Đạo,Cloudy,1,22,3.64
2025-03-08,20:26:28,Saturday,Trường Trung học Chợ Lớn,Đền Vua,Đường Lê Lợi,Sunny,0,16,9.94
2025-03-05,06:53:28,Wednesday,Nhà thờ Chợ Lớn,Bưu điện Chợ Lớn,Đường Bạch Đằng,Cloudy,1,39,5.96
2025-03-04,22:45:28,Tuesday,Trường Tiểu học Chợ Lớn,Bảo tàng Quận 5,Đường Cách Mạng Tháng Tám,Cloudy,0,29,4.56
2025-03-20,09:34:28,Thursday,Siêu thị Big C District 5,Trường Trung học Chợ Lớn,Đường 3/2,Rainy,0,14,3.64
2025-03-10,00:06:28,Monday,Trung tâm Thương Mại Chợ Lớn,Công viên District 5,Đường Nguyễn Văn Quá,Sunny,0,23,3.86
2025-03-20,19:57:28,Thursday,Trung tâm Văn hóa Chợ Lớn,Đền Vua,Đường Cái Vạn,Stormy,1,49,6.85
2025-03-21,16:56:28,Friday,Trường Trung học Chợ Lớn,Trung tâm Văn hóa Chợ Lớn,Đường Nguyễn Văn Linh,Rainy,1,30,3.84
2025-03-18,20:42:28,Tuesday,Bưu điện Chợ Lớn,Chợ Bình Tây,Đường Pasteur,Sunny,1,19,5.4
2025-03-18,07:25:28,Tuesday,Sân vận động Quận 5,Nhà thờ Chợ Lớn,Đường Nguyễn Văn Quá,Stormy,2,26,2.94
2025-03-08,00:18:28,Saturday,Bảo tàng Quận 5,Bưu điện Chợ Lớn,Đường Tô Hiệu,Sunny,2,17,6.51
2025-03-18,21:39:28,Tuesday,Chợ Bình Đông,Cửa hàng Điện máy X,Đường Nguyễn Văn Linh,Cloudy,2,42,7.18
2025-03-03,10:15:28,Monday,Trung tâm Văn hóa Chợ Lớn,Cửa hàng Điện máy X,Đường Cách Mạng Tháng Tám,Sunny,3,56,9.0
2025-03-07,19:37:28,Friday,Bưu điện Chợ Lớn,Trạm xe buýt Quận 5,Đường Trường Chinh,Sunny,1,43,7.95
2025-03-23,15:39:28,Sunday,Siêu thị Big C District 5,Trung tâm Thương Mại Chợ Lớn,Đường Trường Chinh,Cloudy,0,16,4.42
2025-03-17,00:36:28,Monday,Sân vận động Quận 5,Trường Trung học Chợ Lớn,Đường Tô Hiệu,Cloudy,2,22,2.69
2025-03-16,00:55:28,Sunday,Trường Trung học Chợ Lớn,Cửa hàng Điện máy X,Đường Pasteur,Sunny,2,24,3.58
2025-03-01,00:55:28,Saturday,Trường Tiểu học Chợ Lớn,Đền Vua,Đường Nguyễn Văn Linh,Sunny,0,27,2.22
2025-03-07,10:31:28,Friday,Bệnh viện Quận 5,Trạm xe buýt Quận 5,Đường 3/2,Sunny,1,46,5.73
2025-03-15,02:44:28,Saturday,Sân vận động Quận 5,Siêu thị Big C District 5,Đường Lý Tự Trọng,Sunny,1,35,4.93
2025-03-07,01:22:28,Friday,Trường Trung học Chợ Lớn,Sân vận động Quận 5,Đường 3/2,Cloudy,0,25,3.82
2025-03-08,13:29:28,Saturday,Cửa hàng Điện máy X,Trường Tiểu học Chợ Lớn,Đường Lê Văn Sỹ,Sunny,1,58,5.91
2025-03-06,18:05:28,Thursday,Trung tâm Văn hóa Chợ Lớn,Đền Vua,Đường Tô Hiệu,Sunny,0,15,7.22
2025-02-27,05:40:28,Thursday,Bệnh viện Quận 5,Trường Trung học Chợ Lớn,Đường Pasteur,Cloudy,0,34,8.83
2025-03-22,10:15:28,Saturday,Trường Trung học Chợ Lớn,Sân vận động Quận 5,Đường 3/2,Sunny,2,17,9.81
2025-03-10,08:40:28,Monday,Trung tâm Y tế Quận 5,Đền Vua,Đường Đồng Khởi,Cloudy,1,13,7.37
2025-03-16,10:40:28,Sunday,Chợ Bình Đông,Siêu thị Big C District 5,Đường Cái Vạn,Rainy,2,41,7.01
2025-03-11,04:35:28,Tuesday,Siêu thị Big C District 5,Đền Vua,Đường Cái Vạn,Sunny,3,23,3.13
2025-03-22,16:48:28,Saturday,Cửa hàng Điện máy X,Chợ Bình Tây,Đường Trường Chinh,Cloudy,1,16,2.81
