Date,Time,Day of the Week,Origin,Destination,Route,Weather Conditions,Accident Reports,Traffic Intensity,,Distance
21-09-2024,06:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,1,31,,4473
21-09-2024,07:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,58,,4872
21-09-2024,08:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,39,,4473
21-09-2024,09:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,50,,4872
21-09-2024,10:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,26,,4473
21-09-2024,11:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,0,32,,4872
21-09-2024,12:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,1,26,,4473
21-09-2024,13:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,20,,4872
21-09-2024,14:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,24,,4473
21-09-2024,15:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,28,,4872
21-09-2024,16:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,0,52,,4473
21-09-2024,17:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,21,,4872
21-09-2024,18:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,59,,4473
21-09-2024,19:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,29,,4872
21-09-2024,20:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,0,60,,4473
21-09-2024,21:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,24,,4872
21-09-2024,22:27:10,Saturday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,58,,4872
21-09-2024,23:27:10,Saturday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,34,,4473
22-09-2024,00:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,57,,4872
22-09-2024,01:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,53,,4473
22-09-2024,02:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,27,,4872
22-09-2024,03:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,1,57,,4473
22-09-2024,04:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,1,49,,4872
22-09-2024,05:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,23,,4473
22-09-2024,06:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,26,,4473
22-09-2024,07:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,30,,4872
22-09-2024,08:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,35,,4473
22-09-2024,09:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,45,,4872
22-09-2024,10:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,45,,4473
22-09-2024,11:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,58,,4872
22-09-2024,12:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,23,,4473
22-09-2024,13:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,55,,4872
22-09-2024,14:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,40,,4872
22-09-2024,15:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,49,,4473
22-09-2024,16:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,40,,4872
22-09-2024,17:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,49,,4473
22-09-2024,18:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,22,,4872
22-09-2024,19:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,24,,4473
22-09-2024,20:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,30,,4473
22-09-2024,21:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,57,,4872
22-09-2024,22:27:10,Sunday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,44,,4473
22-09-2024,23:27:10,Sunday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,1,59,,4872
23-09-2024,00:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,41,,4872
23-09-2024,01:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,23,,4473
23-09-2024,02:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,52,,4872
23-09-2024,03:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,0,48,,4473
23-09-2024,04:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,49,,4473
23-09-2024,05:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,1,47,,4872
23-09-2024,06:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,22,,4473
23-09-2024,07:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,37,,4872
23-09-2024,08:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,98,,4473
23-09-2024,09:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,91,,4872
23-09-2024,10:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,1,96,,4872
23-09-2024,11:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,41,,4473
23-09-2024,12:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,42,,4872
23-09-2024,13:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,1,26,,4473
23-09-2024,14:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,20,,4872
23-09-2024,15:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,42,,4473
23-09-2024,16:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,0,23,,4872
23-09-2024,17:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,83,,4473
23-09-2024,18:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Rainy,1,96,,4872
23-09-2024,19:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,100,,4473
23-09-2024,20:27:10,Monday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,0,41,,4872
23-09-2024,21:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,1,20,,4473
23-09-2024,22:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,21,,4872
23-09-2024,23:27:10,Monday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,1,27,,4473
24-09-2024,00:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,53,,4872
24-09-2024,01:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Cloudy,0,57,,4473
24-09-2024,02:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Rainy,0,54,,4872
24-09-2024,03:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,39,,4473
24-09-2024,04:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Foggy,0,53,,4872
24-09-2024,05:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,28,,4473
24-09-2024,06:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,1,45,,4872
24-09-2024,07:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,42,,4473
24-09-2024,08:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Clear,1,91,,4872
24-09-2024,09:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,1,81,,4473
24-09-2024,10:27:10,Tuesday,Connaught Place,India Gate,Janpath → Rajpath → India Gate,Foggy,0,84,,4872
24-09-2024,11:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Clear,0,51,,4473
24-09-2024,12:27:10,Tuesday,Connaught Place,India Gate,Kasturba Gandhi Marg → C-Hexagon → India Gate,Cloudy,0,25,,4872
